Name,SKU,Barcode,Category,Subcategory,Quantity,Total,Quantity,Total,Quantity,Total,Quantity,Total,Quantity,Total,Quantity,Total,Quantity,Total
Amsterdam (Chamomile) 10oz*,100000006931,100000006924,Drinks,10oz,,,,,,,3,12.5,2,8.33,1,4.17,2,8.33
Amsterdam (Chamomile) 17oz*,100000006900,100000006894,Drinks,Full Pour,1,6.02,,,6,36.11,,,8,48.15,6,36.11,2,12.04
Amsterdam (Chamomile) Flight*,100000006993,100000006986,Drinks,Flight,,,,,,,,,2,6.02,2,6.02,3,9.03
Apricot & Ginger Seltzer 16oz*,100000016435,100000016428,Drinks,Full Pour,,,,,,,2,6.48,3,9.72,2,6.48,,
Apricot & Ginger Seltzer 5oz*,100000016466,100000016459,Drinks,5oz,,,,,,,,,,,1,2.31,,
Bangkok 10oz*,100000017098,100000017081,Drinks,10oz,2,7.41,,,,,,,,,,,,
Bangkok 14oz*,100000017067,100000017050,Drinks,Full Pour,4,20.37,,,,,,,,,,,,
Bangkok Kolsch*,,100000003770,Bottles & Cans,6-packs,,,,,,,,,1,10.18,3,30.53,4,40.7
Beer Club Glass,100000017241,100000017234,Merchandise,Vessels,,,,,,,,,,,,,2,12
Casablanca 10oz*,100000015629,100000015612,Drinks,10oz,1,4.17,1,4.17,1,4.17,3,12.5,5,20.83,1,4.17,1,4.17
Casablanca 17oz*,100000015506,100000015490,Drinks,Full Pour,2,12.04,7,42.13,2,12.04,2,12.04,5,30.09,5,30.09,2,12.04
Casablanca 32oz*,100000015865,100000015858,Drinks,32oz,1,11.11,,,,,,,,,1,11.11,,
Casablanca 5oz*,100000015681,100000015674,Drinks,5oz,,,,,1,3.24,,,2,6.48,3,9.72,,
Casablanca 64oz*,100000015957,100000015940,Drinks,64oz,,,,,,,,,,,1,17.59,,
Casablanca Flight*,100000015773,100000015766,Drinks,Flight,,,,,,,,,3,9.03,3,9.03,1,3.01
Chai Snickerdoodle*,100000004838,100000004821,Snacks,Cookies,,,,,,,,,,,,,1,4.63
Chicha Morada 10oz*,,100000005842,Drinks,10oz,5,13.89,,,,,,,1,2.78,,,,
Chicha Morada 16oz*,,100000005859,Drinks,Full Pour,,,,,,,,,,,1,3.7,1,3.7
Chicha Morada 5oz*,,100000005835,Drinks,5oz,1,1.85,,,,,,,,,,,,
Damascus 10oz*,100000016916,100000016909,Drinks,10oz,1,4.17,,,,,,,1,4.17,,,,
Damascus 14oz*,100000016886,100000016879,Drinks,Full Pour,2,12.04,3,18.06,3,18.06,1,6.02,4,24.07,2,12.04,,
Damascus 5oz*,100000016947,100000016930,Drinks,5oz,,,1,3.24,,,,,1,3.24,4,12.96,2,6.48
Damascus Flight*,100000016978,100000016961,Drinks,Flight,,,,,,,,,3,9.03,1,3.01,4,12.04
Denver Cheddar*,100000004173,100000004166,Snacks,Popcorn,1,3.7,,,,,,,,,,,,
Flanders Purple 10oz*,100000016107,100000016091,Drinks,Full Pour,3,18.06,3,18.06,4,24.07,4,24.07,4,24.07,5,30.09,2,12.04
Flanders Purple 5oz*,100000016138,100000016121,Drinks,5oz,,,1,3.7,,,,,2,7.41,1,3.7,1,3.7
Flanders Purple Flight*,100000016169,100000016152,Drinks,Flight,,,,,,,,,4,13.89,1,3.47,3,10.42
Glasgow (80 Shilling) 10oz*,100000012505,100000012499,Drinks,10oz,1,3.7,,,2,7.41,,,2,7.41,,,1,3.7
Glasgow (80 Shilling) 16oz*,100000012475,100000012468,Drinks,Full Pour,2,10.19,4,20.37,2,10.19,2,10.19,4,20.37,3,15.28,2,10.19
Glasgow (80 Shilling) 5oz*,100000012536,100000012529,Drinks,5oz,,,,,,,,,,,2,5.56,,
Glasgow (80 Shilling) Flight*,100000012567,100000012550,Drinks,Flight,,,,,,,,,2,5.09,1,2.55,1,2.55
Grätzer 14oz*,100000011096,100000011089,Drinks,Full Pour,,,,,5,30.09,,,5,30.09,3,18.06,,
Grätzer 32oz*,100000011218,100000011201,Drinks,32oz,,,,,,,,,,,,,1,11.11
Grätzer 5oz*,100000011157,100000011140,Drinks,5oz,,,,,,,,,1,3.24,1,3.24,,
Happy Hour Flight*,100000013892,100000013885,Flights and Mixes,Preset Flights,1,11.11,2,22.22,,,,,,,,,,
Intrepid Logo T-Shirt,,100000000762,Merchandise,Apparel,,,1,20,,,,,,,,,,
Intrepid Pilot T-Shirt,100000011270,100000011263,Merchandise,Apparel,1,25,,,,,,,,,,,1,25
Intrepid Sweatshirt,100000001981,100000001974,Merchandise,Apparel,,,,,,,,,2,80,1,40,,
Intrepid Tank Top,,100000000786,Merchandise,Apparel,,,,,,,,,,,,,1,15
Isle of Skye*,100000016763,100000016756,Bottles & Cans,500mL,1,11.1,,,,,,,,,,,1,11.1
Istanbul 10oz*,,100000005798,Drinks,10oz,1,5.09,1,5.09,,,1,5.09,1,5.09,,,,
Istanbul 16oz*,,100000005712,Drinks,Full Pour,1,6.94,3,20.83,4,27.78,3,20.83,3,20.83,5,34.72,2,13.89
Istanbul 32oz*,,100000005804,Drinks,32oz,,,,,,,1,12.96,,,2,25.93,,
Istanbul 5oz*,,100000005781,Drinks,5oz,,,1,3.94,,,,,,,3,11.81,0,0
Istanbul 64oz*,,100000005811,Drinks,64oz,,,1,20.37,,,,,,,,,,
Istanbul Flight*,,100000005774,Drinks,Flight,,,,,,,,,1,3.7,,,3,11.11
Jalapeno Cheddar*,,100000000861,Snacks,Popcorn,,,,,,,,,,,,,1,3.7
Keychain Bottle Opener*,100000008843,100000008836,Merchandise,Other,,,,,,,,,1,3.69,2,7.39,,
Kombucha 10oz*,100000006535,100000006528,Drinks,Full Pour,1,4.17,1,4.17,,,,,,,3,12.5,,
Kombucha 5oz*,100000006627,100000006610,Drinks,5oz,,,,,,,,,1,2.78,,,,
Lavender Tripel 32oz*,100000012925,100000012918,Drinks,32oz,1,17.59,,,,,,,1,17.59,2,35.19,,
MO'AIPA 10oz*,100000014929,100000014912,Drinks,10oz,2,10.19,1,5.09,1,5.09,,,4,20.37,1,5.09,4,20.37
MO'AIPA 14oz*,100000014899,100000014882,Drinks,Full Pour,1,6.94,7,48.61,4,27.78,1,6.94,6,41.67,11,76.39,2,13.89
MO'AIPA 32oz*,100000015018,100000015001,Drinks,32oz,,,,,,,,,,,2,25.93,1,12.96
MO'AIPA 5oz*,100000014950,100000014943,Drinks,5oz,,,,,,,,,,,3,11.81,,
MO'AIPA 64oz*,100000015049,100000015032,Drinks,64oz,,,,,,,,,,,1,20.37,,
MO'AIPA Flight*,100000014981,100000014974,Drinks,Flight,,,,,,,,,5,18.52,1,3.7,5,18.52
Next Stop Sweatshirt,100000016824,100000016817,Merchandise,Apparel,1,45,,,,,,,,,,,,
Next Stop T-Shirt,100000016794,100000016787,Merchandise,Apparel,,,,,,,,,,,1,25,,
Nitro Coffee 10oz*,100000010556,100000010549,Drinks,Full Pour,,,,,,,,,,,1,4.17,1,4.17
Nitro Coffee 5oz*,100000010587,100000010570,Drinks,5oz,,,,,,,,,,,1,2.78,,
Original Salted*,,100000003237,Snacks,Pretzels,,,,,,,1,2.78,,,,,1,2.78
Paonia 10oz*,100000016282,100000016275,Drinks,Full Pour,2,13.89,,,1,6.94,2,13.89,6,41.67,4,27.78,1,6.94
Paonia Flight*,100000016343,100000016336,Drinks,Flight,,,,,,,,,,,,,1,3.47
Paris 10oz*,100000015599,100000015582,Drinks,10oz,,,1,4.17,1,4.17,2,8.33,1,4.17,1,4.17,1,4.17
Paris 14oz*,100000015537,100000015520,Drinks,Full Pour,1,6.02,1,6.02,2,12.04,6,36.11,3,18.06,7,42.13,1,6.02
Paris 32oz*,100000015896,100000015889,Drinks,32oz,,,,,,,,,,,1,11.11,,
Paris 5oz*,100000015711,100000015704,Drinks,5oz,1,3.24,1,3.24,,,,,2,6.48,,,1,3.24
Paris Flight*,100000015803,100000015797,Drinks,Flight,,,,,,,,,1,3.01,3,9.03,7,21.06
Provence (Lavender Tripel) 10oz*,100000012833,100000012826,Drinks,Full Pour,3,20.83,7,48.61,2,13.89,8,55.56,3,20.83,6,41.67,1,6.94
Provence (Lavender Tripel) 5oz*,100000012864,100000012857,Drinks,5oz,,,,,1,4.4,,,4,17.59,3,13.19,,
Provence (Lavender Tripel) Flight*,100000012895,100000012888,Drinks,Flight,,,,,,,,,1,4.17,1,4.17,5,20.83
Quad 32oz*,100000014820,100000014813,Drinks,32oz,,,,,1,22.22,,,,,2,44.44,,
Refajos 10oz*,100000013380,100000013373,Drinks,10oz,,,,,,,,,,,,,1,5.09
Refajos 14oz*,100000013359,100000013342,Drinks,Full Pour,,,,,,,2,13.89,4,27.78,1,6.94,4,27.78
Rome 10oz*,,100000005415,Drinks,10oz,1,5.09,1,5.09,,,1,5.09,4,20.37,,,2,10.19
Rome 14oz*,,100000005422,Drinks,Full Pour,4,27.78,14,97.22,4,27.78,2,13.89,13,90.28,8,55.56,2,13.89
Rome 32oz*,,100000005439,Drinks,32oz,2,25.93,1,12.96,1,12.96,,,,,1,12.96,,
Rome 5oz*,,100000005408,Drinks,5oz,2,7.87,1,3.94,,,,,2,7.87,4,15.74,,
Rome 64oz*,,100000005446,Drinks,64oz,,,,,,,,,,,1,20.37,,
Rome Flight*,,100000005392,Drinks,Flight,,,,,,,,,2,7.41,1,3.7,2,7.41
Root Beer 10oz*,100000006597,100000006580,Drinks,10oz,,,2,6.48,,,1,3.24,,,,,,
Root Beer 14oz*,100000006566,100000006559,Drinks,Full Pour,,,,,,,,,1,4.17,,,,
Root Beer 5oz*,100000006658,100000006641,Drinks,5oz,1,2.31,,,,,,,,,,,1,2.31
Sour Cream & Onion*,100000003909,100000003893,Snacks,Pretzels,,,1,2.78,1,2.78,,,,,,,,
Sriricha*,100000003411,100000003404,Snacks,Pretzels,,,,,1,2.78,,,1,2.78,,,,
Standard Kettle*,,100000000878,Snacks,Popcorn,1,3.7,,,,,,,,,1,3.7,,
